소분류,세부분류,업체명,주소,전화번호,사업자등록일,업데이트일,정제주소
일반음식점,호프/통닭,보드람치킨 (경서연희공원점),"인천광역시 서구 경중로 20, 청라로데오시티포레안 129,130호 (경서동) ", ,2025-07-07,2025-07-09 04:11:30,인천광역시 서구 경중로 20 청라로데오시티포레안 129/130호 (경서동)
일반음식점,한식,"전주호프,전주햄버거김밥,전주짜장짬뽕,전주횟집,전주냉면콩국수","인천광역시 서구 미래로 11, 청라썬앤빌 에코스타 125,126,127,128,129,116호 (청라동) ", ,2025-07-07,2025-07-09 04:11:30,인천광역시 서구 미래로 11 청라썬앤빌 에코스타 125/126/127/128/129/116호 (청라동)
일반음식점,중국식,중화요리 상상잇,"인천광역시 연수구 송도과학로16번길 13-39, 엠씨넥스 타워 지상1층 일부(101,102)호 (송도동) ", ,2025-07-07,2025-07-09 04:11:29,인천광역시 연수구 송도과학로16번길 13-39 엠씨넥스 타워 지상1층 (101/102)호 (송도동)
일반음식점,한식,명품컴퍼니,"인천광역시 남동구 예술로 206, 구월중앙프라자 1층 B103,B104호일부호 (구월동) ", ,2025-07-07,2025-07-09 04:11:26,인천광역시 남동구 예술로 206 구월중앙프라자 1층 B103 B104호 (구월동)
일반음식점,일식,하이도조 송도점,"인천광역시 연수구 인천타워대로 365, 301동 지상1층 120호 (송도동, 힐스테이트 송도 더스카이) ", ,2025-07-07,2025-07-09 04:11:08,인천광역시 연수구 인천타워대로 365/301동 지상1층 120호 (송도동 힐스테이트 송도 더스카이)
일반음식점,한식,작전에 뜬 쭈꾸미,"인천광역시 계양구 효서로 230, 삼성프라자 1층 103호 (작전동) ", ,2025-07-07,2025-07-09 04:10:40,인천광역시 계양구 효서로 230 삼성프라자 1층 103호 (작전동)
일반음식점,호프/통닭,뻔뻔 Fun Fun 치킨,"인천광역시 연수구 봉재산로36번길 17, 지상1층 (동춘동) ", ,2025-07-04,2025-07-06 04:11:50,인천광역시 연수구 봉재산로36번길 17 지상1층 (동춘동)
일반음식점,중국식,라홍방(마라탕),"인천광역시 서구 완정로 147, 유영빌딩 102, 103호 (왕길동) ", ,2025-07-04,2025-07-06 04:11:21,인천광역시 서구 완정로 147 유영빌딩 102/103호 (왕길동)
일반음식점,기타,요거트아이스크림의정석,"인천광역시 서구 도요지로224번길 9, 1층 일부호 (검암동) ", ,2025-07-04,2025-07-06 04:11:21,인천광역시 서구 도요지로224번길 9/1층 (검암동)
일반음식점,중국식,풍원양꼬치,"인천광역시 서구 가정로 259, 2층 일부, 3층 (석남동) ", ,2025-07-04,2025-07-06 04:11:21,인천광역시 서구 가정로 259/2층 /3층 (석남동)
일반음식점,한식,현가칼국수,"인천광역시 서구 석곶로 26, 1층 일부호 (가정동) ", ,2025-07-04,2025-07-06 04:11:21,인천광역시 서구 석곶로 26/1층 (가정동)
일반음식점,기타,카페 베즐리 인천플래그십 스토어점,"인천광역시 미추홀구 경인로 309, 기아자동차 인천서비스센터 1층 (도화동) ", ,2025-07-04,2025-07-06 04:11:04,인천광역시 미추홀구 경인로 309 기아자동차 인천서비스센터 1층 (도화동)
일반음식점,분식,대박분식,"인천광역시 미추홀구 인하로134번길 7, 드림빌 드림빌B동 1층 좌측호 (용현동) ", ,2025-07-04,2025-07-06 04:11:02,인천광역시 미추홀구 인하로134번길 7 드림빌 드림빌B동 1층 (용현동)
일반음식점,기타,골목집,"인천광역시 중구 하늘중앙로195번길 21, 1층 115호 (중산동) ", ,2025-07-04,2025-07-06 04:10:57,인천광역시 중구 하늘중앙로195번길 21/1층 115호 (중산동)
일반음식점,한식,수미네국밥 제물포구점,"인천광역시 중구 인중로182번길 14-6, 1층 (사동) ", ,2025-07-04,2025-07-06 04:10:57,인천광역시 중구 인중로182번길 14-6/1층 (사동)
일반음식점,기타,구백냥곱창,"인천광역시 남동구 하촌서로 62, 1층 일부호 (만수동) ", ,2025-07-03,2025-07-05 04:11:38,인천광역시 남동구 하촌서로 62/1층 (만수동)
일반음식점,호프/통닭,땅땅치킨 인천만수점,"인천광역시 남동구 백범로226번길 34, 1층 일부(좌측)호 (만수동) ", ,2025-07-03,2025-07-05 04:11:38,인천광역시 남동구 백범로226번길 34/1층 ()호 (만수동)
일반음식점,경양식,치즈웨이브 인천 스퀘어원점,"인천광역시 연수구 청능대로 210, 스퀘어원 지상5층 일부호 (동춘동) ", ,2025-07-03,2025-07-05 04:11:16,인천광역시 연수구 청능대로 210 스퀘어원 지상5층 (동춘동)
일반음식점,한식,전통맛집할매순대국 연수선학점,"인천광역시 연수구 학나래로5번길 53, 1층 일부호 (선학동) ", ,2025-07-03,2025-07-05 04:11:16,인천광역시 연수구 학나래로5번길 53/1층 (선학동)
일반음식점,패밀리레스트랑,매드포갈릭 롯데백화점인천점,"인천광역시 미추홀구 연남로 35, 롯데백화점 6층 (관교동) ", ,2025-07-03,2025-07-05 04:11:16,인천광역시 미추홀구 연남로 35 롯데백화점 6층 (관교동)
일반음식점,"외국음식전문점(인도,태국등)",너디너리커피클럽,"인천광역시 서구 서달로123번안길 5-1, 태양빌라 103호 (석남동) ", ,2025-07-03,2025-07-05 04:11:07,인천광역시 서구 서달로123번안길 5-1 태양빌라 103호 (석남동)
일반음식점,중국식,랑만쇼우,"인천광역시 서구 가정로 451, 2층 235호~239호 (가정동) ", ,2025-07-03,2025-07-05 04:11:07,인천광역시 서구 가정로 451/2층 235호~239호 (가정동)
일반음식점,기타,아케이브,"인천광역시 서구 가정로 451, 201호 (가정동) ", ,2025-07-03,2025-07-05 04:11:07,인천광역시 서구 가정로 451/201호 (가정동)
일반음식점,기타,베이지버터,"인천광역시 서구 옥빛로 9, 1층 일부호 (청라동) ", ,2025-07-03,2025-07-05 04:11:07,인천광역시 서구 옥빛로 9/1층 (청라동)
